#   kval   P_lin   I_00   I_01   I_02   I_03   I_10   I_11   I_12   I_13   I_20   I_21   I_22   I_23   I_30   I_31   I_32   I_33   J_00   J_01   J_02   J_10   J_11   J_20   K_00   K_00_s   K_01   K_01_s   K_02_s   K_10   K_10_s   K_11   K_11_s   K_20   K_20_s   K_30   K_30_s   sigma_3
0.000158489  603.32  1.39979e-07  9.76506e-08  -1.48148e-07  -3.92666e-07  2.16471e-07  1.86369e-07  3.10515e-07  2.75397e-07  5.81078e-07  3.46243e-07  6.13173e-08  4.81596e-06  -7.75666e-09  4.67852e-07  -1.65578e-08  2.35689e-08  -121295  -150187  174037  -179949  -56982.4  -790678  -0.000139396  -9.3079e-05  -3461.92  -1538.64  -2307.95  -0.00125662  -0.000837435  -0.000616502  -0.000411544  -18.9801  -12.6503  -0.00341161  -0.105662  3.19262e-07
0.000162181  615.913  1.54601e-07  1.07841e-07  -1.63659e-07  -4.27005e-07  2.37904e-07  2.05729e-07  3.42607e-07  3.05286e-07  6.41782e-07  3.8242e-07  6.59872e-08  5.3158e-06  -8.86129e-09  5.14358e-07  -1.83574e-08  2.73272e-08  -197838  -134828  391514  -249426  -78989.1  -1.33107e+06  -0.000151501  -0.000101164  -3459.64  -1537.63  -2306.43  -0.00136578  -0.000910174  -0.000642608  -0.000429007  -20.4993  -13.6628  -0.000619523  -0.112356  3.45007e-07
0.000165959  628.778  1.70714e-07  1.1907e-07  -1.80754e-07  -4.64218e-07  2.61413e-07  2.27048e-07  3.77923e-07  3.38327e-07  7.08679e-07  4.22292e-07  7.09764e-08  5.86611e-06  -1.01242e-08  5.65374e-07  -2.03369e-08  3.1698e-08  233296  136459  -467392  266602  78062.4  1.11551e+06  -0.000164559  -0.000109886  -3457.21  -1536.54  -2304.81  -0.00148353  -0.000988643  -0.000668144  -0.000446096  -22.1235  -14.7453  0.00268278  -0.119334  3.72718e-07
0.000169824  641.939  1.88468e-07  1.31442e-07  -1.99591e-07  -5.04543e-07  2.87196e-07  2.50521e-07  4.16777e-07  3.74843e-07  7.82386e-07  4.66229e-07  7.63052e-08  6.47186e-06  -1.15683e-08  6.2133e-07  -2.25111e-08  3.67829e-08  -171677  -84608.9  350961  -228951  -93288.6  -798291  -0.000178635  -0.000119289  -3454.61  -1535.39  -2303.08  -0.00161048  -0.00107324  -0.000692846  -0.000462635  -23.8586  -15.9017  0.00644588  -0.126668  4.02535e-07
0.00017378  655.41  2.08026e-07  1.45071e-07  -2.20343e-07  -5.48238e-07  3.15469e-07  2.76361e-07  4.59514e-07  4.15188e-07  8.63583e-07  5.1464e-07  8.19961e-08  7.13849e-06  -1.32191e-08  6.82697e-07  -2.48953e-08  4.27005e-08  45607.4  30886  -79738.9  38720.5  14386.7  260789  -0.000193799  -0.00012942  -3451.83  -1534.15  -2301.22  -0.00174724  -0.00116437  -0.000716433  -0.000478439  -25.7104  -17.1359  0.0107925  -0.134314  4.34607e-07
0.000177828  669.209  2.29569e-07  1.60083e-07  -2.43199e-07  -5.95583e-07  3.46472e-07  3.04801e-07  5.06512e-07  4.59752e-07  9.53017e-07  5.67973e-07  8.80726e-08  7.87197e-06  -1.51066e-08  7.49991e-07  -2.75054e-08  4.95898e-08  9056.1  -4427.55  72508.9  -42126.4  -8236.75  -245830  -0.000210125  -0.000140327  -3448.87  -1532.84  -2299.25  -0.00189449  -0.00126249  -0.000738574  -0.000493287  -27.685  -18.452  0.0157523  -0.142294  4.69093e-07
0.00018197  683.359  2.53292e-07  1.76616e-07  -2.68369e-07  -6.46881e-07  3.80465e-07  3.36097e-07  5.58185e-07  5.08965e-07  1.05151e-06  6.26721e-07  9.45605e-08  8.67882e-06  -1.72652e-08  8.23773e-07  -3.03572e-08  5.76129e-08  -85677.8  -40413.5  124074  -91476.9  -28724  -271196  -0.00022769  -0.000152062  -3445.71  -1531.44  -2297.15  -0.00205293  -0.00136806  -0.000758902  -0.000506935  -29.7888  -19.8541  0.0213113  -0.150661  5.06163e-07
0.000186209  697.869  2.79415e-07  1.9482e-07  -2.9608e-07  -7.02466e-07  4.17734e-07  3.70531e-07  6.14988e-07  5.63298e-07  1.15996e-06  6.91426e-07  1.01488e-07  9.56621e-06  -1.97339e-08  9.04663e-07  -3.34665e-08  6.69595e-08  -319935  -217776  567239  -398838  -128849  -1.7847e+06  -0.000246575  -0.00016468  -3442.35  -1529.94  -2294.91  -0.00222328  -0.00148157  -0.000777036  -0.000519131  -32.028  -21.3465  0.0276397  -0.159343  5.45996e-07
0.000190546  712.763  3.08174e-07  2.14865e-07  -3.26583e-07  -7.62694e-07  4.58594e-07  4.08412e-07  6.77416e-07  6.23268e-07  1.27935e-06  7.62685e-07  1.08886e-07  1.0542e-05  -2.25573e-08  9.93336e-07  -3.68485e-08  7.78516e-08  115639  78385.2  -217853  138223  46848.8  682464  -0.000266868  -0.000178238  -3438.78  -1528.36  -2292.53  -0.00240633  -0.00160354  -0.000792519  -0.00052957  -34.4095  -22.9336  0.0346839  -0.168425  5.88784e-07
0.000194984  728.054  3.39833e-07  2.36932e-07  -3.60153e-07  -8.27964e-07  5.03388e-07  4.50079e-07  7.46014e-07  6.89444e-07  1.41078e-06  8.41155e-07  1.16788e-07  1.16148e-05  -2.57865e-08  1.09053e-06  -4.05174e-08  9.05485e-08  174876  123031  -307745  223321  65025.4  794090  -0.000288657  -0.000192798  -3434.98  -1526.67  -2290  -0.0026029  -0.00173452  -0.000804904  -0.000537956  -36.9397  -24.62  0.0426272  -0.17783  6.34732e-07
