#   kval   P_lin   I_00   I_01   I_02   I_03   I_10   I_11   I_12   I_13   I_20   I_21   I_22   I_23   I_30   I_31   I_32   I_33   J_00   J_01   J_02   J_10   J_11   J_20   K_00   K_00_s   K_01   K_01_s   K_02_s   K_10   K_10_s   K_11   K_11_s   K_20   K_20_s   K_30   K_30_s   sigma_3
0.00221309  8118.68  0.00799864  0.00550444  -0.0087297  -0.011403  0.0104934  0.00880944  0.0115675  0.0173585  0.0332417  0.0203653  0.00220023  0.213121  -0.005691  0.0202145  0.000533199  0.0264335  -3.33895  -7.26968  -24.5267  -0.0861657  -10.7523  -22.8082  -0.135306  -0.0989339  -1342.99  -602.346  -899.477  -1.32052  -0.868782  1.02555  0.654671  -2121.49  -1411.02  35.1878  -5.02286  0.000440937
0.00229087  8363.89  0.00917192  0.00631102  -0.0100132  -0.0130634  0.0120333  0.010046  0.0130726  0.0198991  0.0381181  0.0233766  0.00257676  0.2424  -0.00670023  0.0230807  0.000646847  0.0312108  -3.83332  -7.313  -23.6063  -0.474316  -10.9389  -25.2464  -0.14412  -0.106093  -1293.25  -580.624  -866.611  -1.41452  -0.929938  1.10291  0.702174  -2154.63  -1432.88  35.8849  -5.69935  0.000475438
0.00237137  8614.85  0.0105165  0.00723541  -0.011484  -0.0149638  0.0137982  0.0114542  0.0147657  0.0228096  0.0437068  0.0268322  0.00301738  0.275622  -0.0078865  0.0263483  0.000783519  0.0368443  -4.06623  -7.44286  -23.2259  -0.462394  -11.0409  -26.7026  -0.153423  -0.113766  -1244.92  -559.558  -834.71  -1.51498  -0.995222  1.18512  0.752345  -2186.83  -1454.09  36.5578  -6.42876  0.000512493
0.00245471  8872.13  0.0120574  0.00829473  -0.0131692  -0.0171387  0.0158205  0.0130573  0.0166691  0.0261436  0.0501108  0.0307976  0.0035329  0.313302  -0.00928048  0.0300727  0.000947745  0.0434857  -3.38451  -6.99587  -24.4998  0.34391  -10.7184  -22.9314  -0.163234  -0.121992  -1196.78  -538.607  -802.96  -1.62238  -1.06492  1.27279  0.805519  -2218.9  -1475.2  37.6951  -6.89017  0.00055233
0.00254097  9135.54  0.0138228  0.00950861  -0.0150998  -0.0196272  0.0181376  0.0148821  0.0188072  0.029962  0.0574485  0.0353477  0.00413588  0.356024  -0.010918  0.0343165  0.00114492  0.0513132  -3.19744  -6.75732  -25.4039  0.870159  -10.4991  -21.9081  -0.173569  -0.130813  -1148.34  -517.553  -771.035  -1.73718  -1.13931  1.36682  0.862209  -2251.17  -1496.42  39.4677  -6.97256  0.000595169
0.00263027  9404.84  0.0158455  0.0108995  -0.017311  -0.0224739  0.020792  0.0169587  0.0212072  0.0343347  0.0658549  0.0405682  0.004841  0.404441  -0.0128411  0.0391511  0.00138149  0.0605362  -3.20975  -6.8742  -24.9969  0.457749  -10.6039  -21.5272  -0.184441  -0.140271  -1100.1  -496.619  -739.266  -1.85987  -1.21871  1.4681  0.922907  -2283.31  -1517.54  41.6613  -6.81889  0.000641211
0.0027227  9680.44  0.0181624  0.012493  -0.0198431  -0.0257298  0.0238323  0.0193213  0.0238991  0.0393416  0.0754844  0.0465577  0.00566537  0.459293  -0.0150987  0.0446571  0.0016651  0.0714005  -3.75286  -7.27644  -23.7683  -0.321997  -10.8215  -24.4507  -0.195856  -0.150414  -1053.16  -476.297  -708.392  -1.99094  -1.30339  1.57723  0.987904  -2314.58  -1538.05  43.8599  -6.70537  0.00069064
0.00281838  9962.2  0.0208162  0.0143185  -0.022742  -0.029453  0.0273144  0.0220087  0.0269159  0.0450737  0.0865137  0.0534289  0.00662893  0.521408  -0.0177482  0.050926  0.00200487  0.0841944  -3.50301  -7.13948  -24.2441  0.180823  -10.7468  -23.5876  -0.207821  -0.161289  -1008.46  -457.006  -679.039  -2.13092  -1.3937  1.69445  1.05723  -2344.36  -1557.55  45.6139  -6.9306  0.00074365
0.00291743  10250.4  0.0238554  0.0164096  -0.0260602  -0.0337097  0.0313016  0.025065  0.0302938  0.051635  0.0991445  0.0613109  0.0077549  0.591717  -0.0208566  0.0580616  0.00241163  0.0992561  -3.69018  -7.2688  -23.8947  -0.151432  -10.8021  -24.7375  -0.220338  -0.172953  -966.074  -438.782  -651.259  -2.28038  -1.48996  1.81985  1.13082  -2372.59  -1575.99  46.9211  -7.49756  0.000800484
0.00301995  10544.2  0.0273355  0.0188048  -0.0298574  -0.0385755  0.0358666  0.0285399  0.0340728  0.0591444  0.113607  0.0703516  0.00907032  0.671267  -0.024502  0.0661812  0.00289825  0.116982  -3.4733  -7.06794  -24.3982  0.160881  -10.6575  -23.5033  -0.233411  -0.185465  -925.282  -421.31  -624.578  -2.43996  -1.59257  1.95383  1.20877  -2399.75  -1593.69  48.2198  -8.11756  0.000861442
