#   kval   P_lin   I_00   I_01   I_02   I_03   I_10   I_11   I_12   I_13   I_20   I_21   I_22   I_23   I_30   I_31   I_32   I_33   J_00   J_01   J_02   J_10   J_11   J_20   K_00   K_00_s   K_01   K_01_s   K_02_s   K_10   K_10_s   K_11   K_11_s   K_20   K_20_s   K_30   K_30_s   sigma_3
0.000112202  489.222  3.92547e-08  2.74286e-08  -4.13913e-08  -1.38215e-07  6.56695e-08  5.25908e-08  8.80676e-08  7.24897e-08  1.62932e-07  9.71333e-08  2.46357e-08  1.35932e-06  -1.36131e-09  1.40917e-07  -4.22915e-09  3.42671e-09  2.10642e+06  1.35354e+06  -3.40311e+06  2.48274e+06  739600  1.12944e+07  -4.75932e-05  -3.17702e-05  -4599.29  -2044.13  -3066.19  -0.000428895  -0.000285842  -0.000353242  -0.000235638  -7.08706  -4.72364  -0.0224319  -0.0521272  1.093e-07
0.00011285  491.991  4.02793e-08  2.81438e-08  -4.24744e-08  -1.41425e-07  6.73134e-08  5.39591e-08  9.03536e-08  7.44495e-08  1.67185e-07  9.96675e-08  2.51729e-08  1.39469e-06  -1.40702e-09  1.44458e-07  -4.34819e-09  3.55027e-09  -486689  -421133  1.34905e+06  -855423  -288697  -2.95267e+06  -4.87174e-05  -3.25207e-05  -4599.05  -2044.02  -3066.03  -0.000439027  -0.000292595  -0.000359946  -0.000240112  -7.24836  -4.83115  -0.0226974  -0.053163  1.11571e-07
0.000113501  494.774  4.13302e-08  2.88773e-08  -4.35854e-08  -1.44705e-07  6.89975e-08  5.53623e-08  9.26976e-08  7.64614e-08  1.71547e-07  1.02267e-07  2.57207e-08  1.43097e-06  -1.45428e-09  1.48087e-07  -4.47051e-09  3.67839e-09  322392  262064  -1.60293e+06  277770  184614  3.92977e+06  -4.98668e-05  -3.32881e-05  -4598.8  -2043.91  -3065.87  -0.000449387  -0.000299499  -0.000366752  -0.000244653  -7.41308  -4.94094  -0.0229571  -0.0542135  1.13888e-07
0.000114156  497.572  4.2408e-08  2.96295e-08  -4.47249e-08  -1.48058e-07  7.07225e-08  5.68012e-08  9.5101e-08  7.85268e-08  1.76021e-07  1.04932e-07  2.62795e-08  1.46817e-06  -1.50314e-09  1.51804e-07  -4.59619e-09  3.81126e-09  -1.44944e+06  -1.27157e+06  3.32502e+06  -2.19024e+06  -762400  -1.17841e+07  -5.10418e-05  -3.40726e-05  -4598.55  -2043.8  -3065.7  -0.000459978  -0.000306557  -0.00037366  -0.000249262  -7.58129  -5.05305  -0.0232116  -0.0552797  1.16252e-07
0.000114815  500.384  4.35133e-08  3.04009e-08  -4.58936e-08  -1.51484e-07  7.24895e-08  5.82767e-08  9.75654e-08  8.0647e-08  1.8061e-07  1.07666e-07  2.68494e-08  1.50632e-06  -1.55366e-09  1.55612e-07  -4.72532e-09  3.94905e-09  1.41759e+06  902533  -2.88635e+06  1.56679e+06  618308  8.00897e+06  -5.22431e-05  -3.48746e-05  -4598.29  -2043.69  -3065.53  -0.000470805  -0.000313773  -0.00038067  -0.00025394  -7.75305  -5.16753  -0.0234633  -0.0563633  1.18662e-07
0.000115478  503.21  4.46469e-08  3.1192e-08  -4.70922e-08  -1.54986e-07  7.42995e-08  5.97898e-08  1.00092e-07  8.28235e-08  1.85315e-07  1.10469e-07  2.74306e-08  1.54544e-06  -1.60588e-09  1.59513e-07  -4.85799e-09  4.09195e-09  -397277  -226985  559113  -198535  -233488  -456204  -5.34711e-05  -3.56945e-05  -4598.03  -2043.57  -3065.35  -0.000481874  -0.000321149  -0.000387783  -0.000258686  -7.92844  -5.28442  -0.0237137  -0.0574657  1.21122e-07
0.000116145  506.051  4.58094e-08  3.20032e-08  -4.83215e-08  -1.58564e-07  7.61535e-08  6.13413e-08  1.02683e-07  8.50577e-08  1.90141e-07  1.13344e-07  2.80233e-08  1.58555e-06  -1.65987e-09  1.6351e-07  -4.99429e-09  4.24015e-09  -6317.56  42108.4  -17227  81945.8  11317.1  526914  -5.47265e-05  -3.65326e-05  -4597.76  -2043.45  -3065.17  -0.000493189  -0.00032869  -0.000394999  -0.000263501  -8.10751  -5.40378  -0.0239627  -0.0585874  1.2363e-07
0.000116815  508.907  4.70016e-08  3.28352e-08  -4.95823e-08  -1.6222e-07  7.80525e-08  6.29322e-08  1.0534e-07  8.73511e-08  1.95089e-07  1.16292e-07  2.86277e-08  1.62668e-06  -1.71569e-09  1.67603e-07  -5.13432e-09  4.39385e-09  -3.29383e+06  -2.38039e+06  6.78703e+06  -4.11584e+06  -1.47717e+06  -1.8738e+07  -5.60097e-05  -3.73894e-05  -4597.48  -2043.33  -3064.99  -0.000504755  -0.000336398  -0.000402319  -0.000268386  -8.29033  -5.52563  -0.0242103  -0.0597287  1.26189e-07
0.00011749  511.778  4.82241e-08  3.36883e-08  -5.08753e-08  -1.65956e-07  7.99975e-08  6.45635e-08  1.08063e-07  8.97053e-08  2.00164e-07  1.19316e-07  2.92441e-08  1.66885e-06  -1.77339e-09  1.71797e-07  -5.27817e-09  4.55327e-09  1.2891e+06  966880  -1.29128e+06  1.17477e+06  416492  8.64832e+06  -5.73214e-05  -3.82651e-05  -4597.2  -2043.2  -3064.8  -0.000516578  -0.000344277  -0.000409744  -0.00027334  -8.47699  -5.65004  -0.0244565  -0.0608899  1.28799e-07
0.000118168  514.663  4.94779e-08  3.45632e-08  -5.22014e-08  -1.69774e-07  8.19898e-08  6.62362e-08  1.10856e-07  9.21218e-08  2.05369e-07  1.22416e-07  2.98725e-08  1.7121e-06  -1.83305e-09  1.76092e-07  -5.42595e-09  4.71862e-09  -29201.7  -99823.9  102994  -20681.2  -37558.2  -1.0055e+06  -5.86621e-05  -3.91603e-05  -4596.92  -2043.08  -3064.61  -0.000528663  -0.000352331  -0.000417275  -0.000278366  -8.66754  -5.77704  -0.0247009  -0.0620713  1.31462e-07
